"Emergency Name","People Affected", "Total Duration", "Funds Committed"<br/>

	"2004 Indian Ocean Tsunami",2300000,33617,6249883899<br/>

	"2010 Haiti Earthquake",3400000,178930,4167057145<br/>

	"2010 Pakistan Floods",20000000,58831,2918451998<br/>

	"2011 East Africa Drought",13300000,40956,328906436<br/>

	"2011 Japanese Earthquake &amp; Tsunami",368820,234463,722936734<br/>

